Gene Symbol,GSM155936,GSM155943,GSM155944,GSM155949,GSM155950,GSM155953,GSM155954,GSM155956,GSM155957,GSM155962
DDAH2,7.9655303479878095,6.994398697169791,7.24196408836225,6.19774353696447,7.46714087855091,6.79736322997546,8.89331670107566,7.630179741482049,7.28704743245903,7.32024998631263
TOMM40,8.18964668140285,7.92441466864354,7.8641923364652,7.64842229958794,7.53849936429566,7.98805407987937,8.35517487863531,8.98951655250123,8.72798850461113,8.312556270365981
COMMD3-BMI1,10.1078970616646,10.3618999221557,10.925962342241002,10.792416153503499,10.885070968282198,11.425756157000801,10.3784899479851,10.681563464781801,10.2733410437143,11.052058534626902
TDP2,10.8684136046421,11.420570824598698,10.0061437137128,10.2578356687,10.689325372053599,10.266856800106199,11.0589522973491,9.63883952251477,10.7098075639746,10.3386806789873
LAMC2,3.80289629479183,2.33564331780046,3.0434844976035804,3.02035996060265,2.60394318387933,3.1045312427672798,3.0587199781130403,2.8393025683756,2.6108771994719504,3.0614133184699304
NAE1,11.1921201739658,10.1210154009614,9.70606081280814,9.963310828936859,9.45527789655403,9.48428316697823,10.975647380770301,10.0080083584251,10.0112132757524,10.100399529087198
GBP1,8.33987671921208,8.43273814367425,10.577391060655499,10.4328967889449,11.764436229135699,8.58694484385358,7.46390032412323,8.85281037455327,7.48137967750484,9.62287179879692
PDGFRB,7.077413924238139,7.143536276961781,7.100452094900941,6.477703228500499,6.77996880985126,6.19834288274832,6.9663381732179905,6.923256166084861,7.6201244981622995,6.167500439827791
ACTG2,8.46002988513029,6.541626345417369,6.98874148467146,5.79839533056748,8.636098919798549,5.736997152775049,5.08937526568272,6.11858191112518,8.05999873081357,7.508991105201731
G6PD,8.951727656349581,7.4764383961634095,4.239894436345001,4.95027243320766,4.31327487956477,9.85271519860008,5.332557570490731,6.20528302417245,8.21798192427768,8.03337344245965
SEM1,10.199267450130401,10.4709028610459,10.0641903667899,10.3541501863627,10.2616248355791,10.2107809114001,10.27824035683,11.5354017527266,10.460466135414801,10.7172737144499
ATP5MJ,9.23449892552091,8.585589786391129,9.21360002287579,8.62064139016038,8.55969064423938,8.44132577579036,9.95481426813459,8.58923166478423,9.82362995859825,10.0144110892001
GAK,6.746688979115441,6.75852971321479,6.496997540526531,6.9832444563645195,6.50907981010983,6.377231357114001,6.5559556947085,7.40950974142562,6.80654317777261,7.01944617363609
HSD17B10,9.40098614054915,9.523158101739948,9.922713726611711,10.748008307026,9.75870625343937,9.73599088226815,9.67698137069707,9.6953588068562,10.2530674389879,9.86885495718744
SERPINF1,12.568454944948199,12.8684097460699,14.056315951467099,13.727526977291902,13.1851789709941,11.811382721840598,12.191873508830302,12.3828347419223,11.8391525998648,12.3389925913741
CDKN1A,7.48896481700485,7.05507632148685,6.5056321484987,8.12327820067537,7.99340830352914,7.47025213736745,5.98412447795583,6.74338032171915,5.68394623785436,7.19649885364635
