Gene Symbol,GSM155937,GSM155939,GSM155945,GSM155946,GSM155955,GSM155958,GSM155959,GSM155960,GSM155986,GSM155992
SMARCD1,3.94415566344036,3.9038963027330498,4.456563051717071,4.08845541337371,3.9491333503556096,3.83526723583332,3.9460477104975404,4.44983206087311,4.0870978781103595,3.8601781873753
RASSF2,6.107936804782231,6.63221876744305,3.70499365905864,7.9408538641913795,5.30786199721137,5.39528220413223,4.94689458083218,5.041475175757769,6.647170578281401,6.5961554591104505
S100A4,8.54540084479348,8.628441894661849,8.37189423280187,10.447093560664301,7.769712242717629,7.2338593071964095,8.16817065999688,7.0835537870898495,9.095534164614302,9.46392279634273
DOCK1,6.08355165972152,6.18924538833051,5.9686760079844,4.83039224387282,6.0341738885509,6.5525246286738,5.942917934369731,6.45918568374892,6.62520910922811,6.77319196717357
B4GAT1,7.3717853549232,7.33395140883646,6.8532970779872,6.16549996858422,6.92800308789045,7.6216416549516,7.402074073516849,7.88097320307306,8.412514805298821,8.94542335171872
MIR7113,9.069592083045961,8.3976703551212,8.58192363164004,8.88249938401626,8.21546019580403,9.43425916739762,7.699926360312281,7.64573767939795,6.9162855463460495,9.16235104351618
ABCB6,3.75388260905752,3.7808454978443997,3.77679884168171,3.72535944065548,3.70509321973489,3.91388511056983,3.7925951025122497,3.7929282139084703,3.71196838533347,3.7070388044168903
NUP98,7.238433401855731,6.9443899622700895,6.20971653598984,7.09687324939208,6.44954486771055,6.603599641900259,6.265729426219901,7.2112069285929,6.26771743437428,6.9350117827454
CZIB,7.82912650933492,8.10760941436212,7.7530963802609,8.18587645389709,8.18149518236896,8.41284502284254,8.23120677769379,7.86348010395787,7.0345678928182105,8.02829287439649
CDK9,7.34490836840461,7.21881022284274,6.5936002750666,7.02827076988669,6.2789233091998495,7.291299649540121,6.2678035631858595,5.933598602761429,5.890471013025159,6.57237129620321
MTRR,7.63858071927423,7.996320949035031,7.37224694069956,7.2364926183813,7.666728192096599,8.48638857158733,7.85602083248358,7.20609617133546,7.02962956756306,7.705473422982661
