Gene Symbol,GSM155932,GSM155933,GSM155934,GSM155935,GSM155983,GSM155987,GSM155991,GSM155993
CCNT2,7.61599738997567,7.47115493758937,7.5505236312925605,7.805460141094249,7.4303856425179005,7.89633240390994,7.56918725794523,7.66398497917084
HOMER3,4.24779083059674,4.4392108800772805,4.69078582405755,4.12274725338192,6.14447878691694,5.23031447047447,5.6894081973196196,5.44177228183338
NPR1,6.70675155361712,6.02206592525208,6.38854603307019,6.69193888906742,6.304335805049501,6.28943796459014,6.42376303385139,6.5763316605782105
APBB3,7.5535141040850995,6.1163543590020995,6.4061165485970095,6.81685566236649,6.6602669295721695,6.575412178189289,6.10673356748222,6.463279135141421
NRF1,4.647446913630599,3.9152531790199196,4.6663532624881,5.2220742204664905,5.0245723414885095,4.48271278209064,5.709422986995491,5.6017856423342405
TFAP2A,2.1961443255463,2.1724811148968204,2.1343556726414903,2.13140839531102,2.11803074600332,2.1358303391695,2.12921706366415,2.141187525005
TRA2A,9.36823797738921,8.998517094409198,9.17008278758364,9.60539432431153,8.947689531445288,8.856805217158438,8.890516612567518,8.428854247787191
GFER,6.11892654190891,6.32119574130367,5.5688651240135805,6.3862142976774,6.55896401333212,6.6847766676832,7.20933638561287,6.25434082359989
CD52,6.46574922982393,7.4669288734012405,7.35009054778018,7.8502618620893205,8.72255482398975,7.175215190863691,8.100530940030579,9.874689398991551
ME3,3.5335633482145097,3.9472547009680294,4.82277093026678,3.86612659517097,5.56210196453323,4.90444074414362,4.614085522622309,5.733335357659451
ALPP,2.34591578835673,2.28725064325462,2.2722292736326297,2.25636156127581,2.2430231353925203,2.25854907476283,2.25242171465729,2.2568083852715
SIKE1,2.06007506100715,2.0506793025601797,2.02065865007579,2.0180038365004,2.00628725077957,2.01671737832402,2.01423030160625,2.01564385822053
FOXA1,5.2006769743678305,5.1588378759973,5.493794618652919,5.2227272938175995,5.26003695050264,5.15200083923229,5.42112565728346,5.0901208905093895
RNF24,2.02443670723232,2.01632158846266,1.9886010761958601,1.9821411634478603,1.9688022446701698,1.99052289457784,1.98019717001836,1.9812243049633798
HLA-DRB4,11.417968516402302,10.3808289973981,10.8730826244437,10.552736332068,11.011660558043499,10.831869326103199,11.580362219200499,12.0904895887858
ANKRD6,6.17088447527019,5.85509520819062,6.08400046495323,6.549476654807809,6.57618500612484,6.63367677311998,6.47340703415354,6.720223733730791
MUC2,2.20148017459923,2.5616071932425,2.15496227011156,2.13940400580658,2.12220223408927,2.15255986628059,2.13428337851374,2.15238788102844
IRAG2,5.7409518388267005,4.72250974184025,5.22113853528403,6.09433742659259,5.0233041511227405,3.87947052508696,4.09497918734714,6.116031993447111
SRD5A1,10.3417856554541,9.55900609141947,8.88688237275932,10.7976372105639,6.739983079079731,9.655341094234519,9.28738687082946,8.65309943837999
TMEM186,6.101103751919731,6.333251974091571,5.79939301724229,6.511948688870031,5.642395443130809,5.84773389129798,6.14441352468572,6.31039647478652
CDH5,6.6960216426069294,6.92960165523642,8.07245420957234,5.8132784045433095,7.3788843869116905,7.387560718558119,8.58306395779699,7.29822756867696
LTBP2,5.06800003369538,6.8849275445205,6.160226418011019,4.24653730072055,8.683608739149719,6.9688971452699295,9.057943000527962,8.65084711543794
ICAM2,5.8628852752534195,6.568928948713701,6.18939366231977,5.373331521371731,5.82126376754824,5.18212416421486,5.939595668583849,6.43675151235521
NPTX1,3.5307699401676804,3.3686147141391496,3.09458909838624,3.3038873940965496,3.28075741006322,3.5484612859389504,3.56403666186661,3.28544808843691
ATP2B2,8.31300544305965,8.41759938828802,8.29481370793516,9.320094256322449,8.08998005624928,8.97745166268718,9.037132342628539,8.507996761883039
IRS1,9.76137337773849,9.36038183601598,9.93828726234058,10.477818967623,8.53113969136067,9.62317002390137,9.81705239754377,9.700300990794391
PARM1,3.81883011439226,4.079668242436741,3.70363230743707,3.6937991591648704,4.39530277160425,3.8742559767686098,4.15760159530266,3.9385963190388797
SGCE,4.04329200410237,6.6905986781745,9.058192007979901,4.58256202426627,6.760992661730571,7.04036644350822,6.47291012034558,6.80308493017555
HHEX,8.71302214331858,9.31856992352858,8.65398792316735,8.9575461026736,8.21967192351188,8.44864495575643,8.00302310865533,8.23588020404932
PLA2G6,6.21850608423498,6.620341542038339,5.78012896329531,6.25620113883612,6.88587936744668,6.35873558454775,6.19767474365106,6.68783055497226
SAP25,5.06037601776912,5.32745384134897,5.40789315065093,5.24195074527995,5.61212245135839,5.382546216204769,5.21780457751941,5.3863833157373096
CDC42EP1,6.15257892942129,6.466664638759821,6.0736017563962195,5.95678850434692,6.1394674485452905,6.19206788447965,7.41625707535635,6.18049997647906
AFP,3.89677558987937,4.0527201914113595,11.416206397576401,3.8704732258991097,9.10630905612249,4.46740991715289,4.12895322038601,4.02859567208245
CHGA,3.1329995545396603,3.0025603138602,2.9314863984612103,3.3134359731132,2.9491781837305804,2.97029965613975,3.44430926378676,2.9027740089858503
ISG20,9.327880441042641,7.37858098192497,6.818927232701629,6.53269254732808,7.34552943956167,5.43226795022753,7.53841400208742,7.0679828301843
UTP25,6.22613663339784,6.61370255029629,6.24347867896042,6.01207025874072,5.17230748742796,6.84773389129798,6.66341578449329,6.374604819190941
NFE2L3,4.85298760353004,3.90021956277857,4.45651705568735,3.6870942910939197,5.0677849750607304,4.30922712920063,4.2801323175055,5.026410567619769
IFT88,7.559690644239381,8.02094105920694,7.18594581209199,8.74115009801764,7.79623433517576,8.35874789008506,8.0489935673972,8.04967432669989
ALDOB,10.7604954183744,11.5362472156881,11.6188672379125,13.600273006201,10.849279983757501,10.4873577153115,11.561598220128698,9.60763731618101
INPP5E,6.64750159872788,6.322441963468269,6.239875347396031,6.170313675245461,7.37752289970601,6.72081198859761,6.7713970284128795,7.44868624840779
MAPK4,2.2895866189745,2.24651145895153,2.23367642484388,2.21793482775642,2.20420020167752,2.2373006074448396,2.21272807326166,2.2155605672125698
KIF23,3.2319883656274997,3.11926818490046,4.8220825741134,3.05533276623971,3.0899336732353597,3.11561426693907,3.11122332499201,3.1835929063181205
KIAA0753,5.05842473695644,5.1012592652477196,4.51578813167213,5.21784334370001,5.67140944021572,4.9435416200002,5.03405720741962,5.88928126772805
WIF1,3.56111836363048,3.6005790052482403,3.8458914406780296,4.1689468432791,3.75312312977726,3.4905958009480798,3.4706409800576004,3.4772628493491697
F5,9.9894512698066,11.272810547888698,10.205255650669802,10.539827647699,11.1074394139945,12.520409970636498,13.058806899319501,12.743006191417901
PANX1,5.46789569007812,5.718257496242731,5.49863064211692,5.9503587614273,4.79702335689982,5.82775298424832,6.105407798657451,6.610558336603839
CCDC6,6.00707886089609,5.8061049037218,6.190324474783631,6.31254174931918,6.28196154573171,5.777811570336669,6.239184157324719,6.178630992710019
EPHB6,3.94819900470333,3.74851490369621,3.8902618446565,3.78037309745132,4.13340734587834,3.8024207208014897,3.92720432493312,3.89180800103544
DNAJC6,7.19683323427276,4.57938533614287,7.820408753943219,3.6564162821665196,6.2934790059893,7.060339266357441,7.87733321960074,5.959464152733519
SCN3B,2.0851730805184703,2.08079067165012,2.04352649277271,2.04691008286352,2.02554622865745,2.07580642630807,2.05158440068975,2.03906818806053
COL9A3,4.1596534027460095,4.57752550802412,5.02683103712551,9.100664966862631,4.52747075045858,4.54279663792756,4.54310608039436,4.25892589725292
NCK1,7.52690607067557,7.28540221886225,7.77231457392165,7.43871701343044,6.59110041579,6.78421604335827,6.44686163769127,6.69380752078048
CDH13,2.64480459423239,2.6181023685193,4.94129884528826,2.6062977144941097,2.97563018628082,3.66566563837068,3.90473456077381,2.6056199656434598
WDHD1,2.98857744624171,2.94785875261033,3.23882506604733,2.90835755129845,2.89840959975169,2.97045612237077,2.90319448932621,2.9175806957006496
STX1A,2.55722871559311,2.54480435621804,2.51054170479267,2.50131684529627,2.48792361930375,2.5074826038365696,2.55134620642729,2.44426950241348
RIMS3,2.22992625503692,2.22542610256704,2.2075774227909704,2.5101948090582797,2.8709959147003,3.21957125695325,2.5396402496301698,3.27820336596259
TGFBR3,5.091784447200429,6.78476569631639,7.2707812050792695,8.27739899833123,7.428326669963111,8.53069114127209,7.81607485507303,7.685372543124321
TRIM23,6.96859768040012,5.75792998131724,6.8408282675817595,7.16845149802601,6.690067833894499,7.59788122813266,7.4184261041375805,7.0546640050962495
KLK6,2.34012070544446,2.3321550929549,2.30475925745694,2.29810106963049,2.28400175523646,2.3011310623398398,2.2942796076703,2.32247044626707
KRT15,3.58273662964964,3.7102058170107104,3.53905952545234,3.8808618112366497,3.49733133523027,3.4500762951280404,3.52634430004106,3.5266197358189704
PDE4A,3.00525625006778,3.3278454197154903,3.6022905848611404,2.8960470460355197,4.23122502149154,3.52828375133976,3.7357279524538898,4.12163711829091
CSPG4,3.2165728214017,3.1786286026826,3.1660598176448302,3.16018607227196,4.3031304757825,3.16607267594671,3.37150310520444,3.1669355275336004
MYH7,2.76501273578764,2.75268437506518,2.65452261320435,2.64534197739846,2.63078520072181,2.68567333168459,2.64260916246599,2.64947750553174
KRIT1,5.6956598172660895,5.62485831542734,5.8619057520455895,6.38617290248086,6.16479231080959,5.871917555173661,6.02936453678416,5.7728463511245796
