A13J-11A A20N-11A A20Q-11A A20R-11A A20U-11A A20W-11A A2LA-11A A2LB-11A A0YN-11A A0YR-11A A3BM-11A A3WC-11A A6I3-11A A2C5-11A A3OP-11A A3OQ-11A A3WV-11A A54R-11A A5RI-11A
ADAM21P1 0.0000 0.0000 0.0000 0.0000 0.0000 1.6438 0.8439 0.0000 0.7236 0.0000 0.6387 0.0000 0.0000 1.5949 0.3438 1.3330 1.0504 0.0000 0.0000
ADAM21 2.9504 1.7498 0.0000 3.1658 0.7752 4.3836 4.2194 0.4638 3.6179 2.9412 1.9162 1.1662 1.9920 4.3860 0.3438 7.3313 1.0504 0.5974 0.9648
ADAM22 19.1776 9.6238 14.1343 16.6205 4.6512 97.5342 24.8945 6.4935 36.9030 36.4706 54.2936 16.9096 21.2483 35.4864 8.2503 186.6143 36.7647 34.0502 17.8489
ADAM23 51.6319 22.7472 51.2367 36.0111 806.2016 117.8082 12.6582 226.3451 49.9276 54.1176 32.5762 9.9125 11.9522 32.6954 39.8762 72.9795 10.5042 34.0502 71.3955
ADAM28 2.2128 15.7480 7.9505 3.9573 51.9380 227.9452 561.1814 114.5640 7.9595 130.0000 817.5975 183.6735 270.2523 226.4753 215.1942 535.5163 435.3992 351.2545 371.9319
ADAM29 0.0000 0.0000 0.0000 0.0000 0.7752 0.0000 0.4219 1.8553 0.0000 0.0000 0.0000 0.0000 6.6401 0.3987 0.0000 0.0000 0.0000 0.0000 1.4472
ADAM2 0.0000 0.0000 0.0000 0.0000 0.0000 0.5479 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 102.0734 0.0000 0.0000 1.0504 0.0000 0.0000
ADAM30 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.3280 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ADAM32 5.1632 8.7489 4.4170 11.8718 3.1008 3.2877 2.5316 6.4935 7.2359 9.4118 7.6650 5.2478 0.6640 24.3222 2.4063 3.6656 3.6765 3.5842 5.7888
ADAM33 1662.5853 1590.5512 2000.6007 1425.3898 418.6047 1089.8630 182.7004 151.6698 1534.0087 1403.5059 903.3175 1966.4315 916.9987 337.7193 456.5143 1200.8661 367.1218 903.2258 1126.5775
ADAM3A 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.4219 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ADAM5P 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ADAM6 215.6519 9164.2082 152.1555 493.9612 3934.8760 10749.1178 1819.7300 24868.2978 3070.0507 49764.7882 5316.9835 28789.6676 416463.3865 69641.0845 981.2788 1411.3203 9699.6061 922.7419 292533.3677
ADAM7 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.3280 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ADAM8 27.2912 64.7419 17.6678 47.0914 119.3798 600.0000 631.6456 213.3581 13.0246 125.2941 611.2819 445.4810 1684.5950 377.1930 613.9567 652.4834 529.4118 1554.3608 1030.8930
ADAM9 3340.5864 3395.4506 3480.5654 3788.2865 1178.2946 3377.5342 1137.9747 1705.9369 4843.7048 2429.4118 2229.8695 2405.8309 754.9801 2538.2775 2351.3235 2710.9054 1437.5000 3570.4898 2110.5086
ADAMDEC1 1.4752 8.7489 0.0000 0.3957 31.7829 67.9452 14.7679 148.4230 12.3010 82.3529 11.4975 132.9446 230.4117 148.3254 47.7827 58.9834 3.1513 23.8949 824.9074
ADAMTS10 107.6895 60.3675 85.6890 134.5469 32.5581 147.9452 27.4262 62.6160 99.8553 124.7059 119.4459 192.4198 260.9562 68.5805 98.6593 148.6249 81.9328 99.7611 137.0022
ADAMTS12 40.5680 48.1190 73.3216 85.8726 4.6512 43.2877 7.5949 9.2764 295.2243 67.6471 19.8012 30.3207 21.2483 8.7719 15.1255 32.9907 5.7773 4.7790 24.6025
ADAMTS13 31.7168 34.1207 29.1519 40.7598 13.1783 48.2192 147.2574 37.1058 36.9030 30.0000 286.1591 90.9621 136.1222 49.4418 128.5665 264.2591 222.6891 256.8698 86.3500
ADAMTS14 9.5888 34.9956 9.7173 59.7546 32.5581 286.0274 50.2110 55.6586 89.7250 42.9412 118.1684 81.6327 282.2045 68.9793 72.5335 371.8956 9.9790 54.9582 147.6150
ADAMTS15 174.8110 147.8565 132.5088 515.6312 52.7132 132.0548 1.6878 83.4879 307.5253 212.3529 18.5237 75.2187 7.9681 13.5566 46.0639 129.2970 9.4538 56.7503 70.4307
ADAMTS16 213.9037 216.9729 510.6007 366.4424 1.5504 215.8904 6.7511 0.4638 1775.6874 245.2941 3.8325 232.0700 11.2882 25.1196 92.1279 146.2922 1.5756 11.3501 100.8220
ADAMTS17 84.8239 65.6168 60.9541 121.4879 77.5194 26.3014 39.6624 72.8200 136.7583 53.5294 24.2724 57.7259 17.9283 11.1643 17.5318 52.6519 35.1891 25.0896 25.5673
ADAMTS18 1.4752 9.6238 2.6502 13.4547 9.3023 10.9589 0.4219 16.6976 13.0246 24.7059 2.5550 2.3324 12.6162 0.7974 21.3132 0.9997 0.0000 7.1685 16.4017
ADAMTS19 4.4256 13.1234 6.1837 7.5188 12.4031 107.3973 27.4262 14.8423 44.1389 19.4118 98.3672 12.8280 9.9602 7.5758 8.9378 74.6457 6.3025 65.7109 50.1698
ADAMTS1 12561.3129 18118.9851 4780.0353 44495.4491 3326.3566 23707.3973 10695.3586 13577.9221 5814.7612 21168.2353 24308.1959 13563.8484 6844.6215 6218.8995 4007.2190 8616.5802 3143.3824 25992.2342 9369.2112
ADAMTS20 0.0000 0.0000 0.8834 0.0000 13.9535 2.1918 5.0633 0.0000 0.0000 0.0000 4.4712 0.0000 1.3280 3.5885 0.0000 0.0000 0.0000 0.0000 0.0000
ADAMTS2 310.5292 243.2196 393.1095 249.7032 17.8295 490.9589 24.4726 112.2449 1062.2287 302.3529 125.8334 223.9067 107.5697 115.2313 172.2241 375.8944 26.2605 185.1852 405.7001
ADAMTS3 43.5183 41.1199 37.1025 91.4127 3.8760 46.0274 8.4388 19.0167 63.6758 41.7647 10.2200 28.5714 20.5843 14.3541 28.1884 23.3268 6.8277 19.1159 31.8385
ADAMTS4 1050.3411 6027.9965 297.7032 47556.3910 613.1783 4346.3014 782.2785 3279.6846 599.1317 3479.4118 4307.0781 1055.3936 3922.9748 367.6236 222.7570 178.9497 231.6176 10090.8005 3359.4474
ADAMTS5 679.3288 412.9484 346.2898 374.3569 42.6357 1328.2192 140.9283 143.3210 856.7294 884.1176 417.7412 330.0292 322.7092 199.3620 164.3176 387.2246 148.6345 262.8435 405.2177
ADAMTS6 67.1215 108.4864 48.5866 305.5006 20.1550 111.2329 16.8776 24.5826 114.3271 151.1765 46.6286 85.7143 31.8725 13.9553 16.5005 31.9910 11.0294 36.4397 55.9586
ADAMTS7 80.3983 111.1111 222.6148 132.5683 38.7597 477.2603 129.5359 60.2968 226.4834 163.5294 174.3782 153.3528 234.3958 430.2233 141.6294 205.6089 54.0966 222.2222 202.1264
ADAMTS8 259.6349 428.6964 534.4523 1419.4697 253.4884 838.9041 182.2785 117.3469 915.3401 495.8824 585.7320 316.0350 114.8738 96.0925 85.5964 443.8753 19.9580 412.1864 315.0085
ADAMTS9 489.7658 974.6282 254.4170 5237.4357 143.4109 1026.8493 116.4557 1232.8386 1023.1548 918.8235 229.3106 306.1224 1219.7875 116.8262 236.1636 366.2305 79.8319 1293.9068 1095.5349
ADAMTSL1 346.6716 121.6098 79.5053 197.0716 41.0853 430.1370 38.8186 115.0278 249.6382 634.7059 162.2420 226.8222 229.7477 68.1818 112.4098 106.3035 120.7983 183.3931 351.6710
ADAMTSL2 53.1071 71.7410 42.4028 113.9691 35.6589 550.1370 352.3207 152.5974 86.8307 164.1176 735.1990 70.5539 225.7636 226.4753 107.9409 903.7462 81.4076 347.6703 319.3501
ADAMTSL3 1552.6461 1263.3421 1237.6325 2039.1769 186.8217 460.2740 57.8059 111.3173 1916.7873 1508.8235 440.0974 1224.4898 5.9761 112.0415 207.9752 560.8425 109.7689 222.2222 307.7725
ADAMTSL4 2436.2899 2026.2467 2545.9364 3087.8512 1969.7674 1720.0000 314.3460 893.3210 4234.4428 2185.8824 955.5671 2317.2012 675.2988 703.7480 761.4300 1347.9548 397.0588 1054.3608 2955.6769
ADAMTSL5 20.6528 50.7437 120.1413 42.3427 448.0620 95.8904 112.6582 470.7792 82.4891 80.0000 164.7970 54.2274 29.2165 65.3907 415.6067 103.3043 127.1008 304.6595 75.2547
ADAP1 345.9856 487.7690 359.5406 119.4776 82.4186 286.2575 308.5527 150.2597 210.1375 122.6941 262.7554 177.8076 444.9402 368.4649 455.8646 256.5713 365.6460 298.4170 339.0707
ADAP2 124.6543 174.9781 74.2049 70.0435 149.6124 242.1918 115.1899 126.6234 204.0521 148.2353 114.9746 183.0904 222.4436 121.2121 158.4737 137.6280 65.6513 56.7503 279.3107
ADARB1 10084.4551 10180.2275 10864.8410 7853.9770 1058.1395 989.5890 253.5865 262.5232 6055.7164 4110.5882 338.5365 4805.8309 577.6892 243.6204 536.2668 1442.9281 349.7899 445.0418 997.6073
ADARB2 15.4896 2.6247 1.7668 2.3744 0.0000 1.0959 0.8439 8.3488 0.7236 2.3529 9.5812 3.4985 0.0000 13.1579 0.6875 0.0000 0.0000 4.1816 1.4472
ADAR 4213.9037 4387.5766 4121.9081 3833.3993 3534.1085 7652.6027 4071.3080 4230.9833 4505.7887 5767.6471 6021.4779 4285.1312 4674.6348 5458.5327 7067.3771 6058.9651 5427.5210 4241.9355 4423.1437
ADAT1 134.9806 170.6037 136.9258 91.0170 64.3411 269.0411 92.8270 122.9128 132.4168 147.0588 218.4518 133.5277 90.9695 216.5072 250.6016 388.5575 225.3151 166.6667 107.5756
ADAT2 73.7599 45.4943 51.2367 66.8777 180.6202 83.8356 58.6498 99.2579 70.1881 80.0000 109.2259 101.4577 152.7224 73.3652 113.7848 266.5918 173.8445 121.2664 168.8407
ADAT3 7.3760 12.2485 10.6007 30.0752 82.1705 44.9315 93.2489 74.2115 26.7728 7.0588 33.2149 20.9913 233.0677 122.8070 55.0017 19.6611 44.1176 37.6344 81.5259
ADA 118.0159 89.2388 125.4417 152.7503 333.3333 272.8767 45.5696 337.1985 159.1896 236.4706 63.8748 280.4665 587.6494 138.3573 126.5040 65.9815 29.4118 48.9845 315.0085
ADCK1 210.2157 174.1032 217.3145 146.4187 232.5581 135.8904 171.3080 151.6698 240.2315 227.6471 107.3097 190.0875 257.6361 132.7751 256.7893 203.9427 220.0630 103.3453 149.0622
ADCK2 524.4330 400.6999 530.9187 258.8049 610.0775 644.9315 1605.1519 739.7959 589.0014 590.0000 808.0866 731.7784 1222.4436 1067.8230 1218.6318 873.7546 1046.7437 459.3787 592.8720
