A13J-11A A20N-11A A20Q-11A A20R-11A A20U-11A A20W-11A A2LA-11A A2LB-11A A0YN-11A A0YR-11A A3BM-11A A3WC-11A A6I3-11A A2C5-11A A3OP-11A A3OQ-11A A3WV-11A A54R-11A A5RI-11A
ABCC2 21.3904 9.6238 27.3852 26.5137 31.7829 12.0548 3.3755 6.4935 23.8784 58.2353 22.9949 80.4665 24.5684 7.5758 15.1255 15.3290 4.2017 16.7264 36.1801
ABCC3 18.4400 29.7463 8.8339 18.9949 954.2636 1295.8904 1796.6245 229.5918 7.2359 348.8235 2796.4390 1188.3382 771.5803 1400.7177 1661.3957 3021.4848 3264.7059 5858.4229 2084.4589
ABCC4 736.1239 702.5372 1318.9046 999.6043 141.0853 1364.3836 2284.8101 213.8219 1179.4501 1145.8824 2806.6589 810.4956 306.7729 1491.2281 773.8054 3508.3481 1629.2017 3043.6081 1187.6737
ABCC5 564.2633 363.0796 534.4523 394.5390 2877.5194 1032.3288 4321.9409 1405.3803 470.3329 1013.5294 3039.1632 1437.3178 1264.2762 2687.0016 2958.0612 4340.4477 3308.2983 11025.0896 1654.6388
ABCC6P1 1.4752 0.0000 0.0000 0.7915 0.0000 0.0000 0.4219 0.0000 0.7236 1.1765 0.0000 0.5831 1.9920 0.7974 0.0000 1.9994 1.0504 0.5974 0.0000
ABCC6P2 0.7376 1.7498 2.6502 6.3316 0.0000 6.5753 5.4852 1.3915 3.6179 4.7059 10.8587 5.8309 3.3201 3.1898 2.7501 7.6645 5.7773 1.7921 3.8592
ABCC6 4.4256 3.4996 0.8834 23.7436 1.5504 12.6027 7.1730 13.4508 7.9595 10.5882 14.6912 9.3294 7.3041 15.9490 14.7817 13.3296 13.6555 5.3763 5.7888
ABCC8 8.8512 6.9991 4.4170 2.7701 5.4264 25.7534 1.6878 5.5659 7.9595 23.5294 3.8325 17.4927 8.6321 0.7974 2.4063 4.6654 81.4076 2.9869 12.5425
ABCC9 1269.4081 1181.1024 682.8622 2075.9794 157.3643 711.2329 55.2743 117.8108 1323.4443 1185.2941 295.1016 689.2128 71.7131 78.1499 145.0670 278.9217 81.4076 137.3955 234.9298
ABCD1 839.3878 800.5249 1000.0000 821.1318 244.9612 352.8767 301.2658 128.0148 894.3560 721.1765 347.4789 626.2391 393.7583 265.9490 345.4795 466.8689 382.8782 314.8148 463.5883
ABCD2 126.1294 122.4847 145.7597 90.2256 13.9535 55.3425 4.6414 8.3488 161.3603 110.5882 19.1624 72.3032 14.6082 27.5120 11.0003 48.9862 22.5840 7.1685 31.8385
ABCD3 955.9285 910.7612 1023.8516 1027.3051 2074.4186 2526.0274 1407.5949 2224.0260 1140.3763 931.1765 1221.9250 1148.1050 1284.1965 2193.3812 1766.5865 1756.8400 2015.7563 1584.8268 873.1476
ABCD4 438.8715 354.3307 404.5936 374.3569 497.6744 601.6438 604.2194 476.3451 384.9493 495.8824 628.5281 636.1516 1119.5219 586.5231 749.0547 725.7962 883.9286 417.5627 811.8825
ABCE1 1038.5396 1249.3438 1030.0353 1936.6838 1842.6357 1591.7808 1114.7679 1954.5455 892.1852 1119.4118 1425.6857 1037.9009 712.4834 1663.0781 1517.7037 1286.9719 1287.8151 2107.5269 1401.8601
ABCF1 1971.6024 2177.6028 2189.9293 1982.5880 1382.9457 1968.7671 2758.6498 2317.2542 2206.2229 1898.2353 2047.1875 1882.7988 2291.5007 1834.1308 2244.0701 1701.5222 1936.9748 3017.3238 2051.6556
ABCF2 1238.4289 1379.7025 1361.3074 1383.8544 1228.6822 1517.2603 1406.7511 1581.1688 1070.9117 1071.1765 1065.4318 1071.7201 1375.8300 988.4370 1181.1619 987.0561 1129.7269 1839.3070 1255.6923
ABCF3 647.6120 600.1750 625.4417 406.4108 1227.1318 815.3425 1535.8650 1424.8609 548.4805 801.1765 866.1424 926.5306 1511.9522 1425.8373 1330.6978 929.4057 1290.9664 1120.0717 1122.5494
ABCG1 672.6904 550.3062 251.7668 350.6134 244.9612 367.1233 1471.7300 429.9629 364.6889 1025.2941 1115.8929 774.3440 620.8499 1399.9203 499.4844 885.0848 788.3403 1388.2915 1011.5969
ABCG2 78.1855 27.9965 13.2509 67.6692 210.0775 286.0274 172.9958 167.4397 60.7815 131.7647 565.9308 81.6327 39.8406 130.3828 92.4716 327.5747 245.2731 256.2724 124.4597
ABCG4 2.9504 0.8749 1.7668 2.7701 49.6124 11.5068 5.4852 13.4508 2.1708 2.3529 3.1937 1.1662 3.9841 3.1898 2.0626 4.3321 6.3025 1.7921 4.3416
ABCG5 0.0000 1.7498 1.7668 0.0000 0.0000 1.6438 0.0000 0.0000 0.0000 0.5882 4.4712 1.7493 1.9920 0.3987 0.3438 2.3327 0.0000 0.0000 1.9296
ABCG8 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3987 0.0000 0.3332 0.0000 0.0000 0.0000
ABHD10 592.2921 353.4558 540.6360 343.0946 486.8217 594.5205 437.1308 269.4805 601.3025 688.8235 470.7573 586.5889 691.2351 447.3684 424.5445 552.5115 641.8067 208.4827 350.7062
ABHD11 148.2574 124.2345 189.0459 122.6751 765.1163 334.2466 2111.8143 475.8813 175.1085 215.8824 1481.2567 429.1545 1124.1700 456.1404 1961.8426 586.1687 838.2353 1509.5579 697.0709
ABHD12B 0.0000 1.7498 1.7668 0.0000 11.6279 0.5479 2.1097 4.6382 0.7236 5.2941 3.8325 0.0000 0.0000 7.1770 11.3441 5.6651 3.6765 6.5711 1.9296
ABHD12 657.2008 605.4243 558.3039 447.1706 1664.3411 1276.1644 3864.5570 2098.7941 608.5384 922.3529 1431.4344 903.2070 1667.9947 2379.9841 1369.1990 1939.4553 2997.3739 2344.0860 1662.3572
ABHD13 447.7227 405.9493 377.2085 377.9185 460.4651 541.3699 614.7679 678.1076 427.6411 455.2941 615.7531 424.4898 253.6521 1001.1962 610.5191 614.8273 493.6975 854.8387 592.8720
ABHD14A 259.6349 231.8460 253.5336 243.3716 237.0078 355.1616 546.1983 181.8460 296.6715 521.7059 337.4123 354.7813 531.2085 528.9753 222.9460 339.5713 331.0084 302.8674 495.9768
ABHD14B 1464.1342 1286.9641 1106.0071 1379.5014 2261.2403 1354.5205 3285.6540 1531.0761 1047.7569 2189.4118 2223.4820 1693.8776 2475.4316 2116.8262 2026.8133 1907.4643 2521.5336 1602.1505 2005.3450
